playlist_url,year,track_id,track_name,track_popularity,album,artist_id,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,46OJBhooNAjGnYuCpVpSoF,下一个,36,,4lQ2LwNj8DlXSM3UntsbGc,王靖雯,"['c-pop', 'mandopop']",55,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,3mHiccK39SHrJKoJIHixSm,简要说明,6,,7tDLiRbNQalA5uvTpX2bKh,小阿七,"['mandopop', 'c-pop', 'taiwanese pop', 'gufeng']",51,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,2hSRWmpK1gSuMTF3IvXfcC,仗着,56,,21pP8kvWpNCDhy2fMOTOAf,陈壹千,"['mandopop', 'c-pop', 'taiwanese pop']",40,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,3QSYpTfRt7GEzk2ku8xPjs,死性不改 - 女声版,40,,0iMFttJ05HMGTKWRPHlFOF,胡66,"['c-pop', 'gufeng', 'mandopop', 'chinese r&b']",47,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,71pjGPFgX90CKomOX3cTIE,无名无份,34,,1wLoyoINvXE5z2AqwkvAUz,徐心愉,"['gufeng', 'c-pop', 'mandopop']",18,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,7KLd6PxR3mvR0jQd8n5Rah,善变,60,,4lQ2LwNj8DlXSM3UntsbGc,王靖雯,"['c-pop', 'mandopop']",55,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,3t5edAHbyFEW67wFApp7EO,从前说,65,,7tDLiRbNQalA5uvTpX2bKh,小阿七,"['mandopop', 'c-pop', 'taiwanese pop', 'gufeng']",51,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,7aRmOzf96wEFudbh02cRPe,奉劝,62,,7z7tLLiBfmH0kZ2lNVs8LW,en,"['mandopop', 'gufeng', 'c-pop', 'chinese r&b']",60,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,6wm2yDZqQf1IgEdDDD3lfH,寒枝,32,,6stPrcreG671w8jLivyFQ6,等什么君,"['gufeng', 'c-pop', 'mandopop']",50,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,3492WnE9Bt9Ek20mpe60o2,喜歡你,52,,6GuDr0PBkuJF3z0xtcRKcJ,斑恩Ben,"['chinese r&b', 'mandopop', 'c-pop', 'taiwanese pop', 'chinese hip hop']",46,,,,,,,,,,,,,
